Horodateur,"Pour vous, être productif, c'est avant tout...  ","En moyenne, combien d'heures dormez-vous par nuit? ",Combien d'heures avez-vous dormi la nuit dernière? ,À quelle fréquence avez-vous un sommeil réparateur ?  ,Comment évalueriez-vous votre hygiène de vie actuelle ?  ,"À quelle fréquence pratiquez-vous une activité physique (sport, marche active, etc.) ? ","En moyenne, combien de litres d'eau bois-tu par jour ? ",Consommation quotidienne de café ou boissons énergétiques (nombre de tasses/verres),Avez-vous l'impression d'avoir été efficace dans vos tâches aujourd'hui ?  ,Quel est votre niveau de stress général ces derniers jours ?  ,Niveau moyen de productivité ces 7 derniers jours.,Niveau d’énergie aujourd’hui.,  Quel est votre âge ?  ,Quelle est votre situation actuelle ?  
25/02/2026 12:28:28,Travailler vite et efficacement,06:00,05:00,Parfois (1 à 2 fois par semaine),Moyenne,3 à 4 fois par semaine,2,1,"Mou du genou (Petite forme, beaucoup de distractions)",3,3,4,18-25 ans,Étudiant(e)
25/02/2026 12:29:20,Accomplir toutes ses tâches de la journée,06:00,05:00,Parfois (1 à 2 fois par semaine),Très bonne,1 à 2 fois par semaine,3,1,"Propre (Efficacité correcte, boulot fait)",3,2,3,18-25 ans,Étudiant(e)
25/02/2026 12:34:21,Travailler vite et efficacement,07:00,06:00,Souvent (3 à 5 fois par semaine),Très bonne,Tous les jours,2,0,"Propre (Efficacité correcte, boulot fait)",3,3,3,18-25 ans,Étudiant(e)
25/02/2026 12:35:16,Avoir l'esprit calme et concentré,05:00,06:00,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,3,1,"Propre (Efficacité correcte, boulot fait)",4,3,3,18-25 ans,Étudiant(e)
25/02/2026 12:39:39,Travailler vite et efficacement,06:00,05:00,Souvent (3 à 5 fois par semaine),Moyenne,Jamais,3,0,"Mou du genou (Petite forme, beaucoup de distractions)",2,3,3,18-25 ans,Travailleur / Travailleuse
25/02/2026 12:42:39,Accomplir toutes ses tâches de la journée,06:00,05:00,Parfois (1 à 2 fois par semaine),Très bonne,1 à 2 fois par semaine,2,0,"Mou du genou (Petite forme, beaucoup de distractions)",4,2,2,18-25 ans,Étudiant(e)
25/02/2026 12:43:06,Travailler vite et efficacement,17:00,08:00,Parfois (1 à 2 fois par semaine),Pas terrible,1 à 2 fois par semaine,1,0,"Propre (Efficacité correcte, boulot fait)",1,3,3,18-25 ans,Étudiant(e)
25/02/2026 12:51:32,Travailler vite et efficacement,"5,5",5,Jamais,Très bonne,3 à 4 fois par semaine,1,1,"Propre (Efficacité correcte, boulot fait)",1,3,4,18-25 ans,Étudiant(e)
25/02/2026 13:09:21,Travailler vite et efficacement,5 à 6,6,Parfois (1 à 2 fois par semaine),Moyenne,Tous les jours,1,2,"Propre (Efficacité correcte, boulot fait)",2,3,4,18-25 ans,Les deux 
25/02/2026 13:09:57,Avoir l'esprit calme et concentré,5- 6h ,5 h ,Jamais,Moyenne,3 à 4 fois par semaine,2,1,"Mou du genou (Petite forme, beaucoup de distractions)",4,2,2,18-25 ans,Travailleur / Travailleuse
25/02/2026 13:28:07,Réussir à équilibrer travail et vie perso,2,5,Souvent (3 à 5 fois par semaine),Moyenne,Tous les jours,1,2,"Mou du genou (Petite forme, beaucoup de distractions)",1,4,2,18-25 ans,Étudiant(e)
25/02/2026 13:33:06,Réussir à équilibrer travail et vie perso,5,6,Parfois (1 à 2 fois par semaine),Moyenne,Jamais,2,1,"Propre (Efficacité correcte, boulot fait)",4,3,3,18-25 ans,Travailleur / Travailleuse
25/02/2026 14:23:45,Avoir l'esprit calme et concentré,3 à 5h,3h,Parfois (1 à 2 fois par semaine),Moyenne,Tous les jours,8,0,"Propre (Efficacité correcte, boulot fait)",3,4,2,18-25 ans,Étudiant(e)
25/02/2026 14:49:06,Réussir à équilibrer travail et vie perso,6 heures,6,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,2,0,Déterminé (Très productif et concentré),4,3,3,18-25 ans,Étudiant(e)
25/02/2026 18:13:53,Avoir l'esprit calme et concentré,4,3,Parfois (1 à 2 fois par semaine),Moyenne,Jamais,2,4,"Mou du genou (Petite forme, beaucoup de distractions)",5,5,3,26-45 ans,Travailleur / Travailleuse
25/02/2026 18:17:57,Travailler vite et efficacement,6 heures ,6 heures ,Souvent (3 à 5 fois par semaine),Moyenne,3 à 4 fois par semaine,2,1,Déterminé (Très productif et concentré),3,2,3,18-25 ans,Étudiant(e)
25/02/2026 18:49:57,Accomplir toutes ses tâches de la journée,7h ou 8h ,8h ,Parfois (1 à 2 fois par semaine),Très bonne,1 à 2 fois par semaine,3,1,Déterminé (Très productif et concentré),2,4,5,18-25 ans,Étudiant(e)
25/02/2026 19:17:32,Accomplir toutes ses tâches de la journée,6,5,Souvent (3 à 5 fois par semaine),Moyenne,1 à 2 fois par semaine,2,1,Déterminé (Très productif et concentré),3,4,4,18-25 ans,Étudiant(e)
25/02/2026 20:01:56,Avoir l'esprit calme et concentré,6 hres,7 hres ,Souvent (3 à 5 fois par semaine),Moyenne,3 à 4 fois par semaine,2,2,"Mou du genou (Petite forme, beaucoup de distractions)",3,3,3,26-45 ans,Travailleur / Travailleuse
25/02/2026 20:41:50,Travailler vite et efficacement,6 heures,Environ 8 heures,Parfois (1 à 2 fois par semaine),Moyenne,3 à 4 fois par semaine,1,3,"Propre (Efficacité correcte, boulot fait)",3,3,3,18-25 ans,Étudiant(e)
25/02/2026 20:42:54,Avoir l'esprit calme et concentré,5,4,Parfois (1 à 2 fois par semaine),Pas terrible,Tous les jours,3,2,"Propre (Efficacité correcte, boulot fait)",1,3,3,18-25 ans,Étudiant(e)
25/02/2026 20:45:50,Réussir à équilibrer travail et vie perso,3h,4h,Parfois (1 à 2 fois par semaine),Moyenne,Tous les jours,3,1,Déterminé (Très productif et concentré),3,4,4,18-25 ans,Étudiant(e)
25/02/2026 21:01:25,Travailler vite et efficacement,7 heures,6,Souvent (3 à 5 fois par semaine),Très bonne,3 à 4 fois par semaine,6,1,"Propre (Efficacité correcte, boulot fait)",3,4,5,18-25 ans,Étudiant(e)
25/02/2026 21:33:41,Réussir à équilibrer travail et vie perso,6heures,6heures,Parfois (1 à 2 fois par semaine),Moyenne,Jamais,2,1,"Mou du genou (Petite forme, beaucoup de distractions)",3,2,3,26-45 ans,chomeur récalcitrant 
25/02/2026 22:38:26,Réussir à équilibrer travail et vie perso,5à6h,6h,Parfois (1 à 2 fois par semaine),Moyenne,3 à 4 fois par semaine,3,1,"Propre (Efficacité correcte, boulot fait)",3,4,4,18-25 ans,Étudiant(e)
26/02/2026 07:41:00,Réussir à équilibrer travail et vie perso,6-8,6,Souvent (3 à 5 fois par semaine),Très bonne,1 à 2 fois par semaine,1,1,"Propre (Efficacité correcte, boulot fait)",4,3,4,18-25 ans,Étudiant(e)
26/02/2026 08:27:52,Réussir à équilibrer travail et vie perso,6 à 8,Environ 8h,Parfois (1 à 2 fois par semaine),Moyenne,3 à 4 fois par semaine,2,1,"Propre (Efficacité correcte, boulot fait)",1,3,4,18-25 ans,Étudiant(e)
26/02/2026 08:36:00,Réussir à équilibrer travail et vie perso,Environ six heures ,4,Souvent (3 à 5 fois par semaine),Pas terrible,1 à 2 fois par semaine,2,1,"Propre (Efficacité correcte, boulot fait)",3,4,4,18-25 ans,Étudiant(e)
26/02/2026 08:47:27,Réussir à équilibrer travail et vie perso,6h,6h,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,2,1,"Propre (Efficacité correcte, boulot fait)",2,3,3,18-25 ans,Étudiant(e)
26/02/2026 09:57:02,Accomplir toutes ses tâches de la journée,10:00,19:00,Tous les jours,Très bonne,Tous les jours,1000000000000,1E+21,Mode déter (Efficacité maximale/Machine),5,5,5,plus de 45 ans,Travailleur / Travailleuse
26/02/2026 10:01:44,Accomplir toutes ses tâches de la journée,5,5,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,2,5,"Mou du genou (Petite forme, beaucoup de distractions)",5,3,2,18-25 ans,Étudiant(e)
26/02/2026 10:11:24,Avoir l'esprit calme et concentré,10,8h,Tous les jours,Très bonne,Tous les jours,3,0,Déterminé (Très productif et concentré),5,4,4,26-45 ans,Chômé 
26/02/2026 10:57:18,Accomplir toutes ses tâches de la journée,6h,3h,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,1,0,"Mou du genou (Petite forme, beaucoup de distractions)",4,4,3,18-25 ans,Étudiant(e)
26/02/2026 10:58:00,Réussir à équilibrer travail et vie perso,6,8h,Parfois (1 à 2 fois par semaine),Moyenne,Tous les jours,8,0,"Propre (Efficacité correcte, boulot fait)",5,4,4,18-25 ans,Étudiant(e)
26/02/2026 10:58:13,Réussir à équilibrer travail et vie perso,8,7,Souvent (3 à 5 fois par semaine),Moyenne,3 à 4 fois par semaine,2,0,"Propre (Efficacité correcte, boulot fait)",2,4,4,18-25 ans,Étudiant(e)
26/02/2026 11:00:43,Réussir à équilibrer travail et vie perso,8,9,Tous les jours,Très bonne,Jamais,3,1,Que dalle (Rien fait du tout),2,3,4,18-25 ans,Étudiant(e)
26/02/2026 11:01:27,Accomplir toutes ses tâches de la journée,7h,4h40,Parfois (1 à 2 fois par semaine),Très bonne,Tous les jours,4,1,"Propre (Efficacité correcte, boulot fait)",3,3,3,18-25 ans,Étudiant(e)
26/02/2026 11:57:05,Avoir l'esprit calme et concentré,8,7,Tous les jours,Très bonne,1 à 2 fois par semaine,2,0,"Propre (Efficacité correcte, boulot fait)",3,4,4,18-25 ans,Étudiant(e)
26/02/2026 11:59:49,Accomplir toutes ses tâches de la journée,6h,5,Souvent (3 à 5 fois par semaine),Pas terrible,1 à 2 fois par semaine,3,1,Que dalle (Rien fait du tout),2,4,4,18-25 ans,Étudiant(e)
26/02/2026 12:19:55,Accomplir toutes ses tâches de la journée,6 à 7 heures ,6h,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,1,0,"Propre (Efficacité correcte, boulot fait)",2,3,2,18-25 ans,Travailleur / Travailleuse
26/02/2026 12:39:43,Réussir à équilibrer travail et vie perso,4h,3h30,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,2,2,"Mou du genou (Petite forme, beaucoup de distractions)",2,3,2,18-25 ans,Étudiant(e)
26/02/2026 12:42:42,Réussir à équilibrer travail et vie perso,4-5,4,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,2,2,"Mou du genou (Petite forme, beaucoup de distractions)",2,2,3,18-25 ans,Étudiant(e)
26/02/2026 12:42:57,Accomplir toutes ses tâches de la journée,5 à 8 heures ,6 heures,Parfois (1 à 2 fois par semaine),Très bonne,3 à 4 fois par semaine,1,0,Que dalle (Rien fait du tout),5,4,2,18-25 ans,Étudiant(e)
26/02/2026 12:43:16,Accomplir toutes ses tâches de la journée,6,8,Souvent (3 à 5 fois par semaine),Très bonne,1 à 2 fois par semaine,2,0,"Propre (Efficacité correcte, boulot fait)",2,3,4,18-25 ans,En recherche d'emploi
26/02/2026 12:49:07,Réussir à équilibrer travail et vie perso,7h ,6h,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,2,2,Déterminé (Très productif et concentré),4,2,4,18-25 ans,Étudiant(e)
26/02/2026 12:49:27,Réussir à équilibrer travail et vie perso,6 heure de temps,6 heure de temps,Tous les jours,Moyenne,Tous les jours,3,1,Déterminé (Très productif et concentré),5,3,1,18-25 ans,Étudiant(e)
26/02/2026 13:01:01,Travailler vite et efficacement,9h,8h,Jamais,Moyenne,1 à 2 fois par semaine,1,2,Que dalle (Rien fait du tout),1,4,4,18-25 ans,Étudiant(e)
26/02/2026 13:04:01,Réussir à équilibrer travail et vie perso,8h,5h,Souvent (3 à 5 fois par semaine),Très bonne,3 à 4 fois par semaine,1,1,Déterminé (Très productif et concentré),2,4,4,18-25 ans,Étudiant(e)
26/02/2026 13:07:17,C'est de réussir à accomplir ses tâches dans un temps respectable ,4,3,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,3,2,Que dalle (Rien fait du tout),4,2,1,18-25 ans,Étudiant(e)
26/02/2026 13:17:55,Réussir à équilibrer travail et vie perso,8h de T,9h de T,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,3,2,"Propre (Efficacité correcte, boulot fait)",3,2,5,26-45 ans,Étudiant(e)
26/02/2026 13:18:06,Travailler vite et efficacement,4 a 5 heures ,6 hrs ,Parfois (1 à 2 fois par semaine),Moyenne,Jamais,2,3,"Mou du genou (Petite forme, beaucoup de distractions)",3,4,3,18-25 ans,Étudiant(e)
26/02/2026 13:19:50,Avoir l'esprit calme et concentré,6 heures ,6 heures ,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,5,1,"Mou du genou (Petite forme, beaucoup de distractions)",4,3,2,18-25 ans,Étudiant(e)
26/02/2026 13:29:51,Réussir à équilibrer travail et vie perso,8h,5h,Tous les jours,Très bonne,Tous les jours,2,1,"Propre (Efficacité correcte, boulot fait)",1,4,5,18-25 ans,Étudiant(e)
26/02/2026 16:00:10,Réussir à équilibrer travail et vie perso,7 heures ,7 heures,Souvent (3 à 5 fois par semaine),Moyenne,Tous les jours,1,0,"Propre (Efficacité correcte, boulot fait)",5,3,4,18-25 ans,Étudiant(e)
26/02/2026 16:08:44,Travailler vite et efficacement,5h,Environs 5h 20 mnt ,Parfois (1 à 2 fois par semaine),Très bonne,Tous les jours,3,1,"Mou du genou (Petite forme, beaucoup de distractions)",1,4,3,18-25 ans,Étudiant(e)